long,lat,ASMT_YEAR,TAX_YEAR,PIN_DASH,neighborhood,assess_total_assyr,home_value,wths_wants,assessment_year,situs_addr_city,situs_addr_line_1,situs_addr_line_2,situs_addr_state_legdat,situs_addr_zip_legdat,situs_cmptaddr_direct_legdat,situs_cmptaddr_name_legdat,situs_cmptaddr_number_legdat,situs_cmptaddr_numsuf_legdat,situs_cmptaddr_suffix_legdat
-87.99438567,42.45681921,2020,2019,03-19-100-003,9300001,0,$0.00,$0.00,2020,ANTIOCH,40874 N CRAWFORD RD,,IL,60002,N,CRAWFORD,40874,,RD
-87.99438799,42.45654755,2020,2019,03-19-100-004,9300001,0,$0.00,$0.00,2020,ANTIOCH,40852 N CRAWFORD RD,,IL,60002,N,CRAWFORD,40852,,RD
-87.99439381,42.45586839,2020,2019,03-19-100-005,9300001,0,$0.00,$0.00,2020,ANTIOCH,40804 N CRAWFORD RD,,IL,60002,N,CRAWFORD,40804,,RD
-87.99439924,42.45523452,2020,2019,03-19-100-006,9300001,0,$0.00,$0.00,2020,ANTIOCH,40758 N CRAWFORD RD,,IL,60002,N,CRAWFORD,40758,,RD
-87.99440389,42.45469119,2020,2019,03-19-100-007,9300001,0,$0.00,$0.00,2020,ANTIOCH,40726 N CRAWFORD RD,,IL,60002,N,CRAWFORD,40726,,RD
-87.9944101,42.45396676,2020,2019,03-19-100-008,9300001,0,$0.00,$0.00,2020,ANTIOCH,40670 N CRAWFORD RD,,IL,60002,N,CRAWFORD,40670,,RD
-87.99441708,42.45315194,2020,2019,03-19-100-009,9300001,0,$0.00,$0.00,2020,ANTIOCH,40622 N CRAWFORD RD,,IL,60002,N,CRAWFORD,40622,,RD
-87.96988098,42.34858193,2020,2019,07-29-401-012,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17330 W WOODLAND DR,,IL,60030,W,WOODLAND,17330,,DR
-87.96865136,42.3483749,2020,2019,07-29-401-013,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17320 W WOODLAND DR,,IL,60030,W,WOODLAND,17320,,DR
-87.96501325,42.34772994,2020,2019,07-29-401-029,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17100 W WOODLAND DR,,IL,60030,W,WOODLAND,17100,,DR
-87.97160389,42.34764347,2020,2019,07-29-403-007,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17425 W WOODLAND DR,,IL,60030,W,WOODLAND,17425,,DR
-87.96411962,42.34733379,2020,2019,07-29-404-018,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17011 W WOODLAND DR,,IL,60030,W,WOODLAND,17011,,DR
-87.96808513,42.34653208,2020,2019,07-29-404-046,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17427 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17427,,CIR
-87.97024075,42.34588411,2020,2019,07-29-406-015,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17349 W HICKORY LN,,IL,60030,W,HICKORY,17349,,LN
-87.97213797,42.3428845,2020,2019,07-29-407-001,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17421 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17421,,DR
-87.97183636,42.34138054,2020,2019,07-32-201-001,9829520,4,$12.00,$0.01,2020,GRAYSLAKE,17421 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17421,,DR
-87.97193462,42.34505655,2020,2019,07-29-406-008,9829450,84732,"$254,196.00",$305.04,2020,GRAYSLAKE,17429 W HICKORY LN,,IL,60030,W,HICKORY,17429,,LN
-87.967987,42.34725201,2020,2019,07-29-404-004,9829450,94765,"$284,295.00",$341.15,2020,GRAYSLAKE,17271 W WOODLAND DR,,IL,60030,W,WOODLAND,17271,,DR
-87.96512512,42.34581008,2020,2019,07-29-409-009,9829450,93739,"$281,217.00",$337.46,2020,GRAYSLAKE,17566 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17566,,CIR
-87.96608838,42.34688175,2020,2019,07-29-404-011,9829450,91467,"$274,401.00",$329.28,2020,GRAYSLAKE,17167 W WOODLAND DR,,IL,60030,W,WOODLAND,17167,,DR
-87.97592987,42.34924552,2020,2019,07-29-309-006,9829450,84467,"$253,401.00",$304.08,2020,GRAYSLAKE,17620 W WINDSLOW DR,,IL,60030,W,WINDSLOW,17620,,DR
-87.96481451,42.34541237,2020,2019,07-29-409-020,9829450,88170,"$264,510.00",$317.41,2020,GRAYSLAKE,17206 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17206,,CIR
-87.96884214,42.34599752,2020,2019,07-29-404-024,9829450,92649,"$277,947.00",$333.54,2020,GRAYSLAKE,17281 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17281,,DR
-87.97292052,42.34657893,2020,2019,07-29-403-019,9829450,82492,"$247,476.00",$296.97,2020,GRAYSLAKE,17464 W BLUFF DR,,IL,60030,W,BLUFF,17464,,DR
-87.97709017,42.34760579,2020,2019,07-29-312-004,9829450,69430,"$208,290.00",$249.95,2020,GRAYSLAKE,17677 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17677,,DR
-87.97018884,42.34663398,2020,2019,07-29-406-001,9829450,67852,"$203,556.00",$244.27,2020,GRAYSLAKE,17299 W HICKORY LN,,IL,60030,W,HICKORY,17299,,LN
-87.97170378,42.3451742,2020,2019,07-29-406-009,9829450,66235,"$198,705.00",$238.45,2020,GRAYSLAKE,17415 W HICKORY LN,,IL,60030,W,HICKORY,17415,,LN
-87.96542357,42.34540167,2020,2019,07-29-409-018,9829450,93022,"$279,066.00",$334.88,2020,GRAYSLAKE,17234 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17234,,CIR
-87.96879251,42.34349857,2020,2019,07-29-404-034,9829450,89354,"$268,062.00",$321.67,2020,GRAYSLAKE,33091 N ASHLEY DR,,IL,60030,N,ASHLEY,33091,,DR
-87.97649192,42.34864453,2020,2019,07-29-309-013,9829450,82946,"$248,838.00",$298.61,2020,GRAYSLAKE,17651 W WINDSLOW DR,,IL,60030,W,WINDSLOW,17651,,DR
-87.97328348,42.34353428,2020,2019,07-29-407-002,9829450,87910,"$263,730.00",$316.48,2020,GRAYSLAKE,17417 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17417,,DR
-87.96554497,42.34636659,2020,2019,07-29-404-054,9829450,87387,"$262,161.00",$314.59,2020,GRAYSLAKE,17545 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17545,,CIR
-87.9719287,42.34762569,2020,2019,07-29-403-006,9829450,87380,"$262,140.00",$314.57,2020,GRAYSLAKE,17431 W WOODLAND DR,,IL,60030,W,WOODLAND,17431,,DR
-87.96883348,42.34242059,2020,2019,07-29-404-038,9829450,87076,"$261,228.00",$313.47,2020,GRAYSLAKE,33017 N ASHLEY DR,,IL,60030,N,ASHLEY,33017,,DR
-87.96997126,42.34552401,2020,2019,07-29-406-032,9829450,86429,"$259,287.00",$311.14,2020,GRAYSLAKE,17298 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17298,,DR
-87.97032593,42.34472,2020,2019,07-29-408-001,9829450,85725,"$257,175.00",$308.61,2020,GRAYSLAKE,33165 N SHANNON DR,,IL,60030,N,SHANNON,33165,,DR
-87.97068157,42.34515799,2020,2019,07-29-406-029,9829450,84697,"$254,091.00",$304.91,2020,GRAYSLAKE,17322 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17322,,DR
-87.96963765,42.34619283,2020,2019,07-29-406-035,9829450,84642,"$253,926.00",$304.71,2020,GRAYSLAKE,17274 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17274,,DR
-87.9708004,42.34757356,2020,2019,07-29-403-010,9829450,83727,"$251,181.00",$301.42,2020,GRAYSLAKE,17391 W WOODLAND DR,,IL,60030,W,WOODLAND,17391,,DR
-87.96995357,42.34758516,2020,2019,07-29-403-013,9829450,77283,"$231,849.00",$278.22,2020,GRAYSLAKE,17365 W WOODLAND DR,,IL,60030,W,WOODLAND,17365,,DR
-87.96682557,42.34792878,2020,2019,07-29-401-026,9829450,83093,"$249,279.00",$299.13,2020,GRAYSLAKE,17200 W WOODLAND DR,,IL,60030,W,WOODLAND,17200,,DR
-87.97365396,42.34759406,2020,2019,07-29-313-007,9829450,82844,"$248,532.00",$298.24,2020,GRAYSLAKE,17525 W WOODLAND DR,,IL,60030,W,WOODLAND,17525,,DR
-87.9694886,42.34428695,2020,2019,07-29-408-013,9829450,80869,"$242,607.00",$291.13,2020,GRAYSLAKE,33146 N ASHLEY DR,,IL,60030,N,ASHLEY,33146,,DR
-87.97228047,42.34434207,2020,2019,07-29-406-022,9829450,74414,"$223,242.00",$267.89,2020,GRAYSLAKE,17378 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17378,,DR
-87.96751487,42.34783075,2020,2019,07-29-401-024,9829450,79111,"$237,333.00",$284.80,2020,GRAYSLAKE,17240 W WOODLAND DR,,IL,60030,W,WOODLAND,17240,,DR
-87.97316936,42.34568276,2020,2019,07-29-405-001,9829450,78757,"$236,271.00",$283.53,2020,GRAYSLAKE,17495 W BLUFF DR,,IL,60030,W,BLUFF,17495,,DR
-87.97010915,42.34714603,2020,2019,07-29-403-029,9829450,78122,"$234,366.00",$281.24,2020,GRAYSLAKE,17330 W BLUFF DR,,IL,60030,W,BLUFF,17330,,DR
-87.97101255,42.34552281,2020,2019,07-29-406-012,9829450,78122,"$234,366.00",$281.24,2020,GRAYSLAKE,17379 W HICKORY LN,,IL,60030,W,HICKORY,17379,,LN
-87.97422233,42.34819701,2020,2019,07-29-311-006,9829450,83182,"$249,546.00",$299.46,2020,GRAYSLAKE,17542 W WOODLAND DR,,IL,60030,W,WOODLAND,17542,,DR
-87.9705498,42.34575658,2020,2019,07-29-406-014,9829450,82312,"$246,936.00",$296.32,2020,GRAYSLAKE,17357 W HICKORY LN,,IL,60030,W,HICKORY,17357,,LN
-87.96613387,42.34642679,2020,2019,07-29-404-052,9829450,76779,"$230,337.00",$276.40,2020,GRAYSLAKE,17515 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17515,,CIR
-87.97239476,42.34482471,2020,2019,07-29-406-006,9829450,76317,"$228,951.00",$274.74,2020,GRAYSLAKE,17453 W HICKORY LN,,IL,60030,W,HICKORY,17453,,LN
-87.96881881,42.34740873,2020,2019,07-29-404-001,9829450,75078,"$225,234.00",$270.28,2020,GRAYSLAKE,17321 W WOODLAND DR,,IL,60030,W,WOODLAND,17321,,DR
-87.96949173,42.34378802,2020,2019,07-29-408-015,9829450,74321,"$222,963.00",$267.56,2020,GRAYSLAKE,33112 N ASHLEY DR,,IL,60030,N,ASHLEY,33112,,DR
