long,lat,neighborhood,wths_increase
-87.97321992,42.38858136,9808170,$306.28
-87.98972203,42.34764338,9829110,$247.99
-88.00110997,42.37181663,9818310,$124.77
-88.00088739,42.37181471,9818310,$14.83
-88.0006648,42.37181279,9818310,$14.83
-88.00044229,42.37181061,9818310,$14.83
-88.00021974,42.37180826,9818310,$14.83
-87.90908286,42.4063249,9874500,$107.16
-87.99438567,42.45681921,9300001,$0.00
-87.99438799,42.45654755,9300001,$0.00
-87.99439381,42.45586839,9300001,$0.00
-87.99439924,42.45523452,9300001,$0.00
-87.99440389,42.45469119,9300001,$0.00
-87.9944101,42.45396676,9300001,$0.00
-87.99441708,42.45315194,9300001,$0.00
-87.99442328,42.45242768,9300001,$0.00
-87.99442855,42.45179105,9300001,$0.00
-87.99467744,42.45007952,9300001,$0.00
-87.99284353,42.45005607,9300001,$0.00
-87.99325162,42.44686112,9300004,$4.31
-87.99326918,42.44504139,9300004,$1.62
-87.99684776,42.44646629,9300001,$0.00
-87.99522787,42.44675356,9300004,$23.36
-87.9747745,42.455703,9318100,$462.54
-87.9748018,42.45297782,9318100,$396.03
-87.96691318,42.45507826,9300118,$100.00
-87.97731929,42.44760332,9300118,$135.93
-87.96936472,42.44805076,9318100,$380.09
-87.9649323,42.44783839,9300004,$23.32
-87.96199141,42.45667865,9300004,$3.04
-87.95385506,42.45595216,9318100,$707.46
-87.96142285,42.4526494,9300004,$2.20
-87.96177262,42.45508043,9300004,$0.24
-87.95634492,42.45293138,9300010,$0.00
-87.95833604,42.45524062,9321020,$554.97
-87.957578,42.45520819,9321020,$418.78
-87.9565835,42.45469965,9321020,$475.07
-87.95604448,42.45508764,9321020,$486.12
-87.95532255,42.45523596,9321020,$419.45
-87.9544096,42.45516375,9321020,$451.69
-87.95354794,42.45510096,9321020,$501.74
-87.95923885,42.45503109,9321020,$609.63
-87.9591094,42.45451048,9321020,$414.02
-87.95750758,42.45224314,9300010,$0.00
-87.95891274,42.45389387,9321020,$512.32
-87.95807982,42.4540963,9321020,$458.26
-87.95756614,42.45444417,9321020,$543.56
-87.9540119,42.45394569,9321020,$437.35
-87.95320068,42.45419825,9321020,$453.31
-87.95343393,42.45348259,9321020,$519.34
-87.95715963,42.45330378,9321020,$464.64
-87.95646769,42.45335255,9321020,$498.62
-87.95604657,42.45378401,9321020,$88.73
-87.95544031,42.45351468,9321020,$516.86
-87.95778541,42.45277216,9321020,$718.74
-87.95787972,42.45220321,9321020,$95.14
-87.95712688,42.45226243,9321020,$382.56
-87.95592724,42.45249046,9321020,$479.31
-87.95533781,42.45270782,9321020,$413.54
-87.95436153,42.45288758,9321020,$613.53
-87.95891743,42.4518919,9321020,$393.48
-87.95833313,42.45121636,9321020,$444.64
-87.95740232,42.45149431,9321020,$377.97
-87.95562441,42.45148176,9321020,$468.58
-87.95468564,42.45145833,9321020,$556.69
-87.95394221,42.45159064,9321020,$537.53
-87.95398145,42.45217234,9321020,$456.09
-87.95322214,42.45255227,9321020,$540.44
-87.95516309,42.45441433,9321020,$504.39
-87.95451063,42.45442494,9321020,$407.17
-87.94407777,42.45692521,9318100,$176.38
-87.94416938,42.45647031,9321300,$198.64
-87.95200919,42.4549883,9399999,$0.00
-87.94963485,42.45457689,9321200,$3.67
-87.95019123,42.45271215,9399999,$0.00
-87.94407553,42.45268461,9300001,$0.00
-87.9442179,42.4559484,9321300,$532.74
-87.94417717,42.45503635,9321300,$410.82
-87.94692395,42.45539386,9321300,$271.87
-87.95200851,42.45651674,9316010,$98.79
-87.95220027,42.45571112,9316010,$68.45
-87.94674771,42.45389453,9321010,$323.96
-87.94726648,42.45309039,9321010,$114.79
-87.94702796,42.45218101,9321010,$204.07
-87.94732122,42.45126238,9321010,$140.14
-87.94609988,42.45155747,9321010,$177.11
-87.9470079,42.45686459,9321300,$142.88
-87.96073853,42.44751212,9300004,$25.39
-87.95804294,42.44938897,9300004,$1.38
-87.96027393,42.44419869,9300004,$1.52
-87.95421461,42.44688936,9318100,$290.29
-87.95347027,42.44428662,9318100,$40.68
-87.95347027,42.44428662,9318100,$40.68
-87.95567596,42.44471126,9300004,$0.50
-87.95652018,42.44415253,9301000,$128.73
-87.95511541,42.44422255,9318100,$365.13
-87.95420898,42.44637645,9300004,$0.25
-87.95541112,42.44928261,9318100,$496.28
-87.95359226,42.44829738,9318100,$474.06
-87.95359492,42.44763337,9318100,$428.94
-87.95582194,42.44679765,9300004,$0.58
-87.95544496,42.44581213,9300004,$10.55
-87.9437005,42.44989982,9300001,$0.00
-87.95142581,42.44773187,9321200,$244.94
-87.95143161,42.44682569,9318100,$386.50
-87.95202397,42.44422754,9318100,$207.89
-87.94844563,42.44454018,9318100,$265.17
-87.95141895,42.44954413,9321200,$547.87
-87.95142305,42.4486376,9321200,$531.51
-87.94417689,42.44450665,9321200,$188.18
-87.94332118,42.44449579,9321200,$112.91
-87.95123974,42.44569224,9300118,$8.19
-87.94899795,42.44585101,9321200,$333.24
-87.95053978,42.44438146,9318100,$236.32
-87.95215976,42.4505429,9321010,$126.13
-87.95125027,42.4506126,9321010,$115.38
-87.9484419,42.44945102,9300010,$0.00
-87.94846676,42.45059989,9321010,$104.84
-87.94814158,42.45002295,9321010,$87.50
-87.94741516,42.45064097,9321010,$90.33
-87.94743632,42.45018152,9321010,$84.68
-87.94738329,42.44969447,9321010,$80.92
-87.94610786,42.45056412,9321010,$135.29
-87.94616404,42.45003897,9321010,$151.59
-87.94578366,42.44954235,9321010,$148.68
-87.94544038,42.44899199,9321010,$97.68
-87.94493225,42.44829019,9321010,$107.62
-87.94442569,42.44768324,9321010,$146.65
-87.94383387,42.44717296,9321010,$219.21
-87.94358361,42.44642898,9321010,$158.69
-87.94367409,42.44565638,9321010,$166.44
-87.95035279,42.4502893,9321010,$172.05
-87.94943047,42.45038329,9321010,$82.80
-87.94950067,42.44991531,9321010,$114.79
-87.9493003,42.44950364,9321010,$122.31
-87.94964273,42.44901867,9321010,$108.19
-87.94982171,42.44853778,9321010,$97.17
-87.94980233,42.44805756,9321010,$87.34
-87.94980079,42.44759029,9321010,$105.38
-87.94816615,42.44914923,9321010,$96.91
-87.9484462,42.44859612,9321010,$108.20
-87.94843556,42.44821081,9321010,$88.96
-87.94842999,42.44768078,9321010,$96.17
-87.94905637,42.44748011,9321010,$95.97
-87.94761861,42.44881403,9321010,$100.50
-87.94687409,42.44885665,9321010,$106.63
-87.94656246,42.44837976,9321010,$103.50
-87.94626902,42.44794949,9321010,$139.25
-87.9473676,42.44796092,9321010,$110.97
-87.9476998,42.44754664,9321010,$95.87
-87.94704492,42.44676716,9321010,$211.46
-87.9458627,42.44676785,9321010,$100.56
-87.94553246,42.44632485,9321010,$101.26
-87.94493144,42.44592301,9321010,$93.83
-87.94559109,42.44568348,9321010,$114.42
-87.94648609,42.44594258,9321010,$137.75
-87.94702703,42.44545349,9321010,$88.88
-87.94756131,42.44506086,9321010,$112.41
-87.94707789,42.44440355,9321010,$99.74
-87.9470922,42.44393229,9321010,$106.32
-87.94636127,42.44460369,9321010,$95.97
-87.94615307,42.44401275,9321010,$84.66
-87.94520912,42.44487299,9321010,$155.25
-87.94521348,42.44406904,9321010,$168.39
-87.94041074,42.44901914,9300001,$0.00
-87.9415018,42.44487055,9318100,$568.28
-87.9415018,42.44487055,9318100,$568.28
-87.89900493,42.44047483,9380000,$54.96
-87.8992174,42.43763923,9380000,$23.18
-87.89775743,42.44137216,9300004,$10.74
-87.89711557,42.43762878,9300004,$17.34
-87.90155755,42.4377128,9318100,$43.42
-87.90341024,42.4371008,9318100,$42.78
-87.90113337,42.44007373,9323100,$354.42
-87.90065187,42.44006696,9323100,$207.39
-87.90017036,42.44006018,9323100,$223.70
-87.89968946,42.44005378,9323100,$272.08
-87.903105,42.44237561,9323100,$364.53
-87.90310684,42.4420188,9323100,$64.92
-87.90310868,42.44166209,9323100,$359.64
